source_row_id_or_node_id,original_name,normalized_name,current_bucket,recommended_bucket,status,why_current_is_wrong,why_fix_is_right,rationale,slide_basis,context_note,recommended_action
ebay-community-multi-market,eBay Community,community,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
feedback-forum,Feedback Forum,feedback forum,seller_trust,seller_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Seller reputation/feedback metric  account-level indicator of seller reliability. Seller trust per slide 4.,4,,keep
ebay-council,eBay Council,council,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
expressions-panel,Expressions Panel,expressions panel,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
knownorigin,KnownOrigin,knownorigin,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
live,Live,live,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
seller-community,Seller Community,seller community,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
aste-di-beneficenza,Aste di beneficenza,aste di beneficenza,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ebay-breaks,eBay Breaks,breaks,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
helpful-review,Helpful Review,helpful review,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
community-mentor-program,Community Mentor Program,community mentor program,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ebay-ambassador,eBay Ambassador,ambassador,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
small-business-advocacy-network,Small Business Advocacy Network,small business advocacy network,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
live-commerce,Live Commerce,live commerce,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
trading-card-hub,Trading Card Hub,trading card hub,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
gst-collection-australia,GST Collection (Australia),gst collection (australia),not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ebay-live,eBay Live,live,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
48-hours-of-drops,48 Hours of Drops,48 hours of drops,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
case-breaks,Case Breaks,case breaks,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
tcgplayer-marketplace,TCGplayer Marketplace,tcgplayer marketplace,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
tcgplayer-infinite,TCGplayer Infinite,tcgplayer infinite,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
charity,Charity,charity,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
mission-fish-seller-account,Mission Fish Seller Account,mission fish seller account,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ebay-giving-works,eBay Giving Works,giving works,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
photo-requirements,Photo Requirements,photo requirements,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
account-suspended,Account Suspended,account suspended,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
email-notifications,Email Notifications,email notifications,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ebay-customer-service,eBay Customer Service,customer service,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
intellectual-property,Intellectual Property,intellectual property,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
picture-policy,Picture Policy,picture policy,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
copyright,Copyright,copyright,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
performance-dashboard,Performance Dashboard,performance dashboard,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
performance-dashboard-multi-market,Performance Dashboard,performance dashboard,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
active-content-policy,Active Content Policy,active content policy,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
privacy-policy,Privacy Policy,privacy policy,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
terms-of-service,Terms of Service,terms of service,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
trademark,Trademark,trademark,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
vero-program,VeRO Program,vero program,seller_trust,platform_trust,incorrect,"Classified as seller_trust. VeRO is an IP protection program operated at the platform level, allowing rights holders (brands) to report violations. It is a marketplace integrity mechanism  buyers do not use VeRO to assess seller reliability.","Slide 4: platform trust = marketplace-wide integrity measures. VeRO is eBay's mechanism for IP enforcement across the entire marketplace. It applies globally to all sellers/listings, not to a specific seller account.",Platform-wide IP protection program. Marketplace integrity mechanism. Slide 4.,4,"Affects sellers via listing removal, but the program itself is a platform-level IP governance tool.",move
listing-policies,Listing Policies,listing policies,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
bid-shielding-policy,Bid Shielding Policy,bid shielding policy,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Platform-level policy governing marketplace behavior  an integrity measure that applies across all transactions. Platform trust per slide 4.,4,,keep
shill-bidding-policy,Shill Bidding Policy,shill bidding policy,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Platform-level policy governing marketplace behavior  an integrity measure that applies across all transactions. Platform trust per slide 4.,4,,keep
transaction-interference-policy,Transaction Interference Policy,transaction interference policy,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Platform-level policy governing marketplace behavior  an integrity measure that applies across all transactions. Platform trust per slide 4.,4,,keep
report-this-item,Report This Item,report this item,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Marketplace-wide integrity or assurance mechanism. Platform trust per slide 4.,4,,keep
account-suspension,Account Suspension,account suspension,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Platform-level policy governing marketplace behavior  an integrity measure that applies across all transactions. Platform trust per slide 4.,4,,keep
ccpa-compliance,CCPA Compliance,ccpa compliance,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Regulatory compliance measure that applies marketplace-wide  an integrity assurance. Platform trust per slide 4.,4,,keep
eu-consumer-rights-directive,EU Consumer Rights Directive,eu consumer rights directive,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Platform-level policy governing marketplace behavior  an integrity measure that applies across all transactions. Platform trust per slide 4.,4,,keep
feedback-extortion-policy,Feedback Extortion Policy,feedback extortion policy,seller_trust,platform_trust,incorrect,"Classified as seller_trust. Feedback Extortion Policy is a platform rule prohibiting buyer misbehavior  it is a marketplace integrity measure that governs buyer conduct, not an account-level indicator of seller reliability.","Slide 4: platform trust = marketplace-wide assurances and integrity measures. Policies prohibiting fraudulent buyer behavior (extortion) are platform-level governance, not seller-reputation signals. Buyers do not use this to assess a seller's reliability.",Platform-level policy governing buyer behavior. Integrity measure. Slide 4.,4,"Protects sellers, but is a platform rule, not a seller reputation signal.",move
indefinite-suspension,Indefinite Suspension,indefinite suspension,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Platform-level policy governing marketplace behavior  an integrity measure that applies across all transactions. Platform trust per slide 4.,4,,keep
listing-removal-notice,Listing Removal Notice,listing removal notice,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Platform-level policy governing marketplace behavior  an integrity measure that applies across all transactions. Platform trust per slide 4.,4,,keep
trust-safety,Platform-Wide Trust & Safety,platform-wide trust & safety,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Marketplace-wide buyer protection/assurance mechanism backed by eBay  covers the transaction regardless of which seller or item. Platform trust per slide 4.,4,,keep
prohibited-items-list,Prohibited Items List,prohibited items list,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Platform-level policy governing marketplace behavior  an integrity measure that applies across all transactions. Platform trust per slide 4.,4,,keep
selling-restrictions,Selling Restrictions,selling restrictions,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Platform-level policy governing marketplace behavior  an integrity measure that applies across all transactions. Platform trust per slide 4.,4,,keep
tax,Tax,tax,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
no-returns-accepted,No Returns Accepted,no returns accepted,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
best-match,Best Match,best match,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
watchlist,Watchlist,watchlist,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
watchlist-multi-market,Watchlist,watchlist,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
product-identifiers,Product Identifiers,product identifiers,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
product-identifiers-multi-market,Product Identifiers,product identifiers,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
saved-searches,Saved Searches,saved searches,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
saved-searches-multi-market,Saved Searches,saved searches,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
agentic-search,Agentic Search,agentic search,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
catalog-api,Catalog API,catalog api,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
find-it-on-ebay,Find It On eBay,find it on ebay,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
shop-the-look,Shop the Look,shop the look,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
buying-format,Buying Format,buying format,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
items-watched,Items Watched,items watched,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
purchase-history,Purchase History,purchase history,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
same-day-handling,Same-Day Handling,same-day handling,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
site-preferences,Site Preferences,site preferences,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
endless-runway,Endless Runway,endless runway,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
my-garage,My Garage,my garage,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
60-day-returns,60-Day Returns,60-day returns,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
below-standard,Below Standard,below standard,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
below-standard-status,Below Standard,below standard,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
best-match-multi-market,Best Match (Cassini),best match (cassini),not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
browse-categories,Browse Categories,browse categories,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
clear-filters,Clear Filters,clear filters,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
curated-lists,Curated Lists,curated lists,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
end-listing,End Listing,end listing,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
follow-seller,Follow Seller,follow seller,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
gallery-picture,Gallery Picture,gallery picture,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
gallery-plus,Gallery Plus,gallery plus,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
get-alerts,Get Alerts,get alerts,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
image-search,Image Search,image search,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
impressions,Impressions,impressions,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
language-translation,Language Translation,language translation,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
matching-categories,Matching Categories,matching categories,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
mobile-web,Mobile Web,mobile web,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
price-alert,Price Alert,price alert,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
price-range-filter,Price Range Filter,price range filter,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
refine-search,Refine Search,refine search,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
returns-accepted-filter,Returns Accepted Filter,returns accepted filter,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
share-this-item,Share This Item,share this item,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
sold-items-filter,Sold Items Filter,sold items filter,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
vat-collection,VAT Collection,vat collection,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
view-count,View Count,view count,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
buy-it-now-filter,Buy It Now Filter,buy it now filter,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
watch-list-category-filters,Watch List Category Filters,watch list category filters,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
shop-by-diagram,Shop by Diagram,shop by diagram,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
subtitle,Subtitle,subtitle,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
discovery-buyer-experience,Discovery & Buyer Experience,discovery & buyer experience,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
collections,Collections,collections,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
