registry_id,classification,evidence_quality,action_required,notes_summary,scan_date,review_complete
ebay-buyer-guarantee,false_positive,B,Remove from registry as false positive; not a formal eBay program name,'eBay Buyer Guarantee' does not appear as a formal program name on any current eBay page. The active programs are 'eBay ,2026-04-29,yes
ebay-canada,existing_validated,A,,eBay Canada — live,2026-04-29,yes
ebay-collection-points,existing_validated,A,,"eBay Collection Points (UK) LIVE. Also branded 'Click & Collect'. 3,500+ locations: Collect+ (3,000+), Argos standalone,",2026-04-29,yes
ebay-collection-points-uk,existing_validated,B,,Active platform feature — eBay Collection Points (parent: click-and-collect-multi-market). Consistent with current eBay ,2026-04-29,yes
ebay-community,existing_validated,A,,eBay Community — live,2026-04-29,yes
ebay-concierge,name_correction,A,Keep as live node but add critical note: membership criteria tightened to top 10% GMV; mass member removals Sept 2025; Anchor Store no longer guarantees access,eBay Concierge LIVE with a Help page at ebay.com/help/account/changing-account-settings/ebay-concierge?id=4358. However:,2026-04-29,yes
ebay-customer-service,existing_validated,A,,eBay Customer Service — live,2026-04-29,yes
ebay-deals,existing_validated,A,,eBay Deals destination — live,2026-04-29,yes
ebay-developers-program,existing_validated,A,,Developer program — live at developer.ebay.com,2026-04-29,yes
ebay-exclusive-coupons,existing_validated,B,,Active platform feature — eBay Exclusive Coupons (parent: marketing). Consistent with current eBay functionality.,2026-04-29,yes
ebay-export,existing_validated,A,,eBay Export program — live,2026-04-29,yes
ebay-fashion-app,existing_legacy_validated,A,,eBay Fashion App — vertical fashion app retired 2015. Correctly marked legacy.,2026-04-29,yes
ebay-for-charity,existing_validated,A,,Charity selling program — live,2026-04-29,yes
ebay-france,existing_validated,A,,eBay France — live,2026-04-29,yes
ebay-fulfilment,name_correction,A,Update name to 'eBay Fulfilment by Orange Connex'; add market: UK; add canonical URL ebay.co.uk/sml/fulfilment; add note: 2025 starter offer active,eBay Fulfilment LIVE in UK at ebay.co.uk/sml/fulfilment. Full official name: 'eBay Fulfilment by Orange Connex'. Launche,2026-04-29,yes
ebay-fulfilment-uk,duplicate,C,merge or clarify regional distinction,Likely duplicate of ebay-fulfilment,2026-04-29,yes
ebay-germany,existing_validated,A,,eBay Germany — live,2026-04-29,yes
ebay-gift-cards,existing_validated,A,,Gift cards — live at ebay.com/giftcards,2026-04-29,yes
ebay-guaranteed-delivery,status_changed_deprecated,B,Merge with guaranteed-delivery node or mark as deprecated; de facto ended ~2021; no formal deprecation announcement,eBay Guaranteed Delivery is the same program as 'guaranteed-delivery' — same de facto deprecated status. Page at pages.e,2026-04-29,yes
ebay-guaranteed-fit,name_correction,A,confirm name field shows 'eBay Guaranteed Fit' not just 'Guaranteed Fit',Full official name is 'eBay Guaranteed Fit' — live at pages.ebay.com/motors/ebay-guaranteed-fit/. Registry should use fu,2026-04-29,yes
ebay-imperdibili,existing_validated,A,,Italian Imperdibili deals — live,2026-04-29,yes
ebay-imperdibili-it,existing_validated,A,,Italian Imperdibili campaign — live,2026-04-29,yes
ebay-innovate-developer-conference,existing_legacy_validated,A,,eBay Innovate Developer Conference — developer conference 2011. Correctly marked legacy.,2026-04-29,yes
ebay-international-shipping,existing_validated,A,,Successor to GSP — live at sellercenter/shipping/ebay-international-shipping,2026-04-29,yes
ebay-international-standard-delivery,existing_legacy_validated,B,,eBay International Standard Delivery — consolidated into eBay International Shipping,2026-04-29,yes
ebay-italy,existing_validated,A,,eBay Italy — live,2026-04-29,yes
ebay-live,existing_validated,A,,Core T1 brand — live at ebay.com/ebaylive. URL correction: /ebay-live (broken) → /ebaylive,2026-04-29,yes
ebay-mastercard,existing_legacy_validated,B,,eBay Mastercard — discontinued co-brand card,2026-04-29,yes
ebay-milo,existing_legacy_validated,A,,eBay Milo — local shopping engine acquired 2010. Correctly marked legacy.,2026-04-29,yes
ebay-mobile-app,existing_validated,A,,eBay Mobile App — live,2026-04-29,yes
ebay-mobile-app-android,existing_validated,A,,"eBay Mobile App (Android) — Android app launched Feb 2010, continuously updated. Live.",2026-04-29,yes
ebay-moda-latin-america,existing_legacy_validated,A,,eBay Moda — Latin America fashion app 2013. Correctly marked legacy.,2026-04-29,yes
ebay-money-back-guarantee,existing_validated,A,,Core buyer protection — live globally,2026-04-29,yes
ebay-motors,existing_validated,A,,eBay Motors vertical — live. Appears as both umbrella and vertical (structural fix needed).,2026-04-29,yes
ebay-motors-parts,existing_validated,A,,eBay Motors Parts & Accessories — live,2026-04-29,yes
ebay-now,existing_legacy_validated,A,,eBay Now — same-day delivery service 2012-2015. Correctly marked legacy.,2026-04-29,yes
ebay-partner-network,existing_validated,A,,eBay affiliate/partner network — live,2026-04-29,yes
ebay-picture-services,existing_legacy_validated,B,,"eBay Picture Services — old photo hosting, replaced",2026-04-29,yes
ebay-playbook,existing_validated,A,,"eBay Playbook — brand guide with 280+ pages, part of eBay Evo initiative launched 2024. Live internal brand resource.",2026-04-29,yes
ebay-plus,existing_validated,A,,eBay Plus membership (AU/DE) — live,2026-04-29,yes
ebay-plus-membership,duplicate,B,merge into ebay-plus,Duplicate of ebay-plus,2026-04-29,yes
ebay-premium-service,existing_validated,A,,UK premium seller badge — live,2026-04-29,yes
ebay-premium-service-uk,existing_validated,B,,Active platform feature — eBay Premium Service (parent: top-rated-plus-badge). Consistent with current eBay functionalit,2026-04-29,yes
ebay-premium-services,duplicate,B,verify; merge if same,Possible duplicate of ebay-premium-service,2026-04-29,yes
ebay-rachat,existing_validated,A,,"eBay Rachat LIVE in France. Launched April 25, 2024. CircularX partnership. Dedicated site: ebayrachat.fr. Help page at ",2026-04-29,yes
ebay-radio,existing_legacy_validated,A,,eBay Radio — correctly marked legacy,2026-04-29,yes
ebay-redlaser,existing_legacy_validated,A,,eBay RedLaser — barcode scanning app acquired 2010. Correctly marked legacy.,2026-04-29,yes
ebay-refurbished,existing_validated,A,,eBay Refurbished — live,2026-04-29,yes
ebay-refurbished-warranty,existing_validated,A,,Refurbished product warranty — live,2026-04-29,yes
ebay-selling-app,existing_validated,A,,eBay Selling App — live,2026-04-29,yes
ebay-spain,existing_validated,A,,eBay Spain — live,2026-04-29,yes
ebay-speedpak,existing_validated,B,,eBay SpeedPAK — appears as eBay-branded shipping service (distinct from generic SpeedPAK network). Verify scope.,2026-04-29,yes
ebay-standard-envelope,existing_validated,B,,Active platform feature — eBay Standard Envelope (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
ebay-stores,existing_validated,A,,eBay Stores subscription — live. Graph structural issue: appears as both umbrella and program.,2026-04-29,yes
ebay-stores-basic,existing_legacy_validated,B,,eBay Stores Basic — correctly marked legacy,2026-04-29,yes
ebay-stores-enterprise,existing_validated,A,,eBay Stores Enterprise tier — live,2026-04-29,yes
ebay-stores-premium,existing_validated,A,,eBay Stores Premium tier — live,2026-04-29,yes
ebay-top-service,existing_validated,A,,German eBay Top-Service seller badge — live,2026-04-29,yes
ebay-top-service-de,existing_validated,B,,Active platform feature — eBay Top-Service (parent: top-rated-plus-badge). Consistent with current eBay functionality.,2026-04-29,yes
ebay-uk,existing_validated,A,,eBay UK — live,2026-04-29,yes
ebay-university,existing_legacy_validated,B,,eBay University — legacy education program,2026-04-29,yes
ebay-valet,existing_legacy_validated,A,,eBay Valet — consignment service 2014-2018. Correctly marked legacy.,2026-04-29,yes
ebay-valet-original,existing_legacy_validated,B,,"eBay Valet — consignment service, discontinued",2026-04-29,yes
ebay-vault,existing_validated,A,,Brand live at ebay.com/vault; PSA operates facility since May 2024. Brand remains active.,2026-04-29,yes
ebay-wow,existing_validated,A,,eBay WOW! (DE) — live. Official name includes exclamation mark.,2026-04-29,yes
ebay-wow-de,name_correction,A,update name to 'eBay WOW!',eBay WOW! (DE) — official name includes '!'. Live at ebay.de/deals.,2026-04-29,yes
edit-listing,existing_validated,B,,Active platform feature — Edit Listing (parent: sellertools). Consistent with current eBay functionality.,2026-04-29,yes
edit-payment,existing_validated,B,,Active platform feature — Edit Payment (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
education,existing_validated,A,,Structural hierarchy node — Education is valid taxonomy entry,2026-04-29,yes
electronic-travel-auction,existing_legacy_validated,A,,Electronic Travel Auction — first third-party licensing partner 1996. Correctly marked legacy.,2026-04-29,yes
electronics-technology,existing_validated,A,,Structural hierarchy node — Electronics & Technology is valid taxonomy entry,2026-04-29,yes
email-alerts,existing_validated,B,,Active platform feature — Email Alerts (parent: email-notifications). Consistent with current eBay functionality.,2026-04-29,yes
email-notifications,existing_validated,B,,Active platform feature — Email Notifications (parent: notifications). Consistent with current eBay functionality.,2026-04-29,yes
email-to-friend,existing_legacy_validated,B,,Email to Friend — retired listing feature,2026-04-29,yes
end-listing,existing_validated,B,,Active platform feature — End Listing (parent: sellertools). Consistent with current eBay functionality.,2026-04-29,yes
end-listing-early,existing_validated,B,,Active platform feature — End Listing Early (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
ended-listings,existing_validated,B,,Active platform feature — Ended Listings (parent: seller-hub). Consistent with current eBay functionality.,2026-04-29,yes
ending-soon,existing_validated,B,,Active platform feature — Ending Soon (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
ends-soon,existing_validated,B,,Active platform feature — Ends Soon (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
estimated-delivery,existing_validated,B,,Active platform feature — Estimated Delivery (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
eu-consumer-rights-directive,existing_validated,A,,Legal/policy document — EU Consumer Rights Directive maintained by eBay legal/compliance team,2026-04-29,yes
events-campaigns,existing_validated,A,,Structural hierarchy node — Events & Campaigns is valid taxonomy entry,2026-04-29,yes
everything-else,existing_validated,A,,Structural hierarchy node — Everything Else / Cross-Category is valid taxonomy entry,2026-04-29,yes
excellent-refurbished,existing_validated,A,,Excellent refurbished tier — live,2026-04-29,yes
expedited-international-shipping,existing_validated,B,,Active platform feature — Expedited International Shipping (parent: shipping). Consistent with current eBay functionalit,2026-04-29,yes
export-academy,existing_validated,A,,Export Academy LIVE at export.ebay.com/en/academy/. Separate from domestic eBay Academy. Content for cross-border/export,2026-04-29,yes
express-payouts,existing_validated,B,,Active platform feature — Express Payouts (parent: payments). Consistent with current eBay functionality.,2026-04-29,yes
fashion-luxury,existing_validated,A,,Structural hierarchy node — Fashion / Luxury is valid taxonomy entry,2026-04-29,yes
fast-and-free,name_correction,B,Update description: 'Fast and Free' is now informal/colloquial; formal naming is delivery time badges; status should be 'legacy' or 'functional label' not a branded product,The formal 'Fast 'N Free' badge (truck icon) was retired ~2021 and replaced with specific delivery time tags: 'Free deli,2026-04-29,yes
fast-n-free,existing_legacy_validated,B,,Fast 'N Free — deprecated shipping badge (confirmed absent from all live pages),2026-04-29,yes
fathers-day-gifts,existing_validated,A,,Father's Day campaign — seasonal,2026-04-29,yes
featured-deals,existing_validated,B,,Active platform feature — Featured Deals (parent: ebay-deals). Consistent with current eBay functionality.,2026-04-29,yes
featured-first,existing_validated,B,,Active platform feature — Featured First (parent: advertising). Consistent with current eBay functionality.,2026-04-29,yes
featured-listing,existing_legacy_validated,B,,Featured Listing upgrade — retired,2026-04-29,yes
fee-illustrator,existing_validated,B,,Active platform feature — Fee Illustrator (parent: analytics). Consistent with current eBay functionality.,2026-04-29,yes
feed,existing_validated,B,,Active platform feature — Feed (parent: ebay-mobile-app). Consistent with current eBay functionality.,2026-04-29,yes
feedback,existing_validated,A,,Structural hierarchy node — Feedback is valid taxonomy entry,2026-04-29,yes
feedback-extortion-policy,existing_validated,A,,Legal/policy document — Feedback Extortion Policy maintained by eBay legal/compliance team,2026-04-29,yes
feedback-forum,existing_validated,B,,Active platform feature — Feedback Forum (parent: community). Consistent with current eBay functionality.,2026-04-29,yes
feedback-left,existing_validated,B,,Active platform feature — Feedback Left (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
feedback-reply,existing_validated,B,,Active platform feature — Feedback Reply (parent: feedback). Consistent with current eBay functionality.,2026-04-29,yes
feedback-revision-request,existing_validated,B,,Active platform feature — Feedback Revision Request (parent: feedback). Consistent with current eBay functionality.,2026-04-29,yes
file-exchange,existing_legacy_validated,B,,File Exchange — replaced by modern APIs,2026-04-29,yes
filter-by,existing_validated,B,,Active platform feature — Filter By (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
find-it-on-ebay,existing_validated,B,,Active platform feature — Find It On eBay (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
fine-art,existing_validated,A,,Fine Art vertical — live,2026-04-29,yes
fitment-compatibility,existing_validated,B,,Active platform feature — Fitment Compatibility (parent: ebay-motors). Consistent with current eBay functionality.,2026-04-29,yes
fitment-plus,existing_validated,B,,Active platform feature — Fitment Plus (parent: ebay-motors). Consistent with current eBay functionality.,2026-04-29,yes
fitment-plus-auto,existing_validated,B,,Active platform feature — Fitment Plus Auto (parent: ebay-motors). Consistent with current eBay functionality.,2026-04-29,yes
fixed-price-format,existing_validated,B,,Active platform feature — Fixed Price Format (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
flash-deals,existing_validated,B,,Active platform feature — Flash Deals (parent: ebay-deals). Consistent with current eBay functionality.,2026-04-29,yes
flat-rate-shipping,existing_validated,B,,Active platform feature — Flat Rate Shipping (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
follow-seller,existing_validated,B,,Active platform feature — Follow Seller (parent: saved-sellers). Consistent with current eBay functionality.,2026-04-29,yes
following,existing_validated,B,,Active platform feature — Following (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
form-1099-k,existing_validated,A,,Legal/policy document — Form 1099-K maintained by eBay legal/compliance team,2026-04-29,yes
form-1099-k-us,existing_validated,B,,Active platform feature — Form 1099-K (US) (parent: tax). Consistent with current eBay functionality.,2026-04-29,yes
free-2-day-shipping,existing_validated,B,,Active platform feature — Free 2-day Shipping (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
free-2-day-shipping-us,existing_validated,B,,Active platform feature — Free 2-Day Shipping (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
free-3-day-shipping,existing_validated,B,,Active platform feature — Free 3-day Shipping (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
free-4-day-shipping,existing_validated,B,,Active platform feature — Free 4-day Shipping (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
free-4-day-shipping-us,existing_validated,B,,Active platform feature — Free 4-Day Shipping (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
free-returns,existing_validated,A,,Return policy label — live,2026-04-29,yes
free-shipping,existing_validated,A,,Shipping policy label — live,2026-04-29,yes
free-shipping-badge,existing_validated,B,,Active platform feature — Free Shipping Badge (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
free-shipping-filter,existing_validated,B,,Active platform feature — Free Shipping Filter (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
free-shipping-threshold,existing_validated,B,,Active platform feature — Free Shipping Threshold (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
freight-shipping,existing_validated,B,,Active platform feature — Freight Shipping (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
full-refund,existing_validated,B,,Active platform feature — Full Refund (parent: returns). Consistent with current eBay functionality.,2026-04-29,yes
gallery,existing_validated,B,,Active platform feature — Gallery (parent: advertising). Consistent with current eBay functionality.,2026-04-29,yes
gallery-picture,existing_validated,B,,Active platform feature — Gallery Picture (parent: listing-designer). Consistent with current eBay functionality.,2026-04-29,yes
gallery-plus,existing_validated,B,,Active platform feature — Gallery Plus (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
gdpr-compliance,existing_validated,A,,Legal/policy document — GDPR Compliance maintained by eBay legal/compliance team,2026-04-29,yes
general-campaign,existing_validated,A,,Promoted Listings General Campaign — live,2026-04-29,yes
get-alerts,existing_validated,B,,Active platform feature — Get Alerts (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
global-shipping-program,existing_legacy_validated,B,,Global Shipping Program — renamed to eBay International Shipping 2024,2026-04-29,yes
global-shipping-toggle,name_correction,B,Update description: toggle now refers to eIS enrollment; update parent from global-shipping-program to ebay-international-shipping,"Global Shipping Toggle exists in listing flow but now refers to eBay International Shipping (eIS) enrollment, not the ol",2026-04-29,yes
go-to-checkout,existing_validated,B,,Active platform feature — Go to Checkout (parent: checkout). Consistent with current eBay functionality.,2026-04-29,yes
goldin-auctions,existing_validated,A,,"Goldin Auctions is an eBay-owned property since May 16, 2024 (acquired from Collectors Holdings; announced April 10, 202",2026-04-29,yes
good-refurbished,existing_validated,A,,Good refurbished tier — live,2026-04-29,yes
good-til-cancelled,existing_validated,B,,Active platform feature — Good Til Cancelled (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
google-pay,existing_validated,B,,Active platform feature — Google Pay (parent: payments). Consistent with current eBay functionality.,2026-04-29,yes
green-monday,existing_validated,A,,Green Monday — recurring,2026-04-29,yes
gsi-commerce-ebay-enterprise,existing_legacy_validated,A,,"GSI Commerce / eBay Enterprise — acquired 2011, rebranded, divested. Correctly marked legacy.",2026-04-29,yes
gst-collection-australia,existing_validated,B,,Active platform feature — GST Collection (Australia) (parent: tax). Consistent with current eBay functionality.,2026-04-29,yes
guaranteed-delivery,status_changed_deprecated,B,Mark as de facto deprecated; add note: 'page persists but program functionally ended ~2021'; update status to legacy or deprecated,eBay Guaranteed Delivery: static page at pages.ebay.com/shipping/guaranteed-delivery.html still accessible (2026 copyrig,2026-04-29,yes
guaranteed-fit,duplicate,A,remove guaranteed-fit; keep ebay-guaranteed-fit with full name,"Duplicate of ebay-guaranteed-fit — same program, two IDs",2026-04-29,yes
guest-checkout,existing_validated,B,,Active platform feature — Guest Checkout (parent: checkout). Consistent with current eBay functionality.,2026-04-29,yes
hand-picked-collections,existing_validated,B,,Active platform feature — Hand-Picked Collections (parent: collections). Consistent with current eBay functionality.,2026-04-29,yes
handbag-authentication,existing_validated,A,,AG Handbags variant — live,2026-04-29,yes
handling-time,existing_validated,B,,Active platform feature — Handling Time (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
help-center,existing_validated,B,,Active platform feature — Help Center (parent: support). Consistent with current eBay functionality.,2026-04-29,yes
helpful-review,existing_validated,B,,Active platform feature — Helpful Review (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
hermes-paketshop,existing_validated,B,,Active platform feature — Hermes PaketShop (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
holiday-gift-guide,existing_validated,A,,Holiday Gift Guide — seasonal,2026-04-29,yes
home-garden,existing_validated,A,,Structural hierarchy node — Home & Garden is valid taxonomy entry,2026-04-29,yes
html-editor,existing_validated,B,,Active platform feature — HTML Editor (parent: listing-designer). Consistent with current eBay functionality.,2026-04-29,yes
hub-vendeur,existing_validated,A,,French Seller Hub variant — live,2026-04-29,yes
image-requirements,existing_validated,A,,Legal/policy document — Image Requirements maintained by eBay legal/compliance team,2026-04-29,yes
image-search,existing_validated,B,,Active platform feature — Image Search (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
immediate-payment-required,existing_validated,B,,Active platform feature — Immediate Payment Required (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
impact,existing_validated,A,,Structural hierarchy node — Impact is valid taxonomy entry,2026-04-29,yes
import-charges,existing_validated,B,,Active platform feature — Import Charges (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
impressions,existing_validated,B,,Active platform feature — Impressions (parent: analytics). Consistent with current eBay functionality.,2026-04-29,yes
in-app-messaging,existing_validated,B,,Active platform feature — In-App Messaging (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
in-app-qr-code,existing_validated,B,,Active platform feature — In-App QR Code (parent: ebay-mobile-app). Consistent with current eBay functionality.,2026-04-29,yes
in-store-pickup,existing_validated,B,,Active platform feature — In-Store Pickup (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
in-store-pickup-us,existing_validated,B,,Active platform feature — In-Store Pickup (parent: local-pickup-multi-market). Consistent with current eBay functionalit,2026-04-29,yes
in-transit,existing_validated,B,,Active platform feature — In Transit (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
inactive-listings,existing_validated,B,,Active platform feature — Inactive Listings (parent: seller-hub). Consistent with current eBay functionality.,2026-04-29,yes
indefinite-suspension,existing_validated,B,,Active platform feature — Indefinite Suspension (parent: trust). Consistent with current eBay functionality.,2026-04-29,yes
instant-payout,existing_validated,B,,Active platform feature — Instant Payout (parent: payments). Consistent with current eBay functionality.,2026-04-29,yes
intellectual-property,existing_validated,A,,Legal/policy document — Intellectual Property maintained by eBay legal/compliance team,2026-04-29,yes
international,existing_validated,A,,Structural hierarchy node — International is valid taxonomy entry,2026-04-29,yes
international-site-visibility,existing_validated,B,,Active platform feature — International Site Visibility (parent: international). Consistent with current eBay functional,2026-04-29,yes
international-standard-delivery,existing_legacy_validated,B,,International Standard Delivery — consolidated into eIS,2026-04-29,yes
inventory,existing_validated,A,,Structural hierarchy node — Inventory is valid taxonomy entry,2026-04-29,yes
inventory-management,existing_validated,B,,Active platform feature — Inventory Management (parent: seller-hub). Consistent with current eBay functionality.,2026-04-29,yes
issue-resolution-center,existing_validated,A,,Issue Resolution Center — live,2026-04-29,yes
item-comparison,existing_validated,B,,Active platform feature — Item Comparison (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
item-condition,existing_validated,B,,Active platform feature — Item Condition (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
item-description-editor,existing_validated,B,,Active platform feature — Item Description Editor (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
item-location,existing_validated,B,,Active platform feature — Item Location (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
item-no-longer-available,existing_validated,B,,Active platform feature — Item No Longer Available (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
item-not-received,existing_validated,B,,Active platform feature — Item Not Received (parent: ebay-money-back-guarantee). Consistent with current eBay functional,2026-04-29,yes
item-reviews,existing_validated,B,,Active platform feature — Item Reviews (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
item-specifics,existing_validated,B,,Active platform feature — Item Specifics (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
item-specifics-filter,existing_validated,B,,Active platform feature — Item Specifics Filter (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
items-watched,existing_validated,B,,Active platform feature — Items Watched (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
jewelry-authentication,existing_validated,A,,AG Jewelry variant — live,2026-04-29,yes
keyword-targeting,existing_validated,B,,Active platform feature — Keyword Targeting (parent: promoted-listings). Consistent with current eBay functionality.,2026-04-29,yes
klarna,existing_validated,B,,Active platform feature — Klarna (parent: payments). Consistent with current eBay functionality.,2026-04-29,yes
knownorigin,status_changed_deprecated,A,Wave 5 node — review status in registry,KnownOrigin — NFT marketplace acquired June 2022. eBay laid off 30% of staff Feb 2024 and shut down mid-2024. Status in ,2026-04-29,yes
kruse-international,existing_legacy_validated,A,,"Kruse International — automobile auctioneer acquired 1999, repurchased by Dean Kruse 2002. Correctly marked legacy.",2026-04-29,yes
label-printer,existing_validated,B,,Active platform feature — Label Printer (parent: thermal-printer). Consistent with current eBay functionality.,2026-04-29,yes
language-translation,existing_validated,B,,Active platform feature — Language Translation (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
late-shipment-rate,existing_validated,B,,Active platform feature — Late Shipment Rate (parent: seller-performance-standards). Consistent with current eBay functi,2026-04-29,yes
leave-feedback,existing_validated,B,,Active platform feature — Leave Feedback (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
linked-accounts-policy,existing_validated,A,,Legal/policy document — Linked Accounts Policy maintained by eBay legal/compliance team,2026-04-29,yes
list-price,existing_validated,B,,Active platform feature — List Price (parent: sellertools). Consistent with current eBay functionality.,2026-04-29,yes
listing,existing_validated,A,,Structural hierarchy node — Listing is valid taxonomy entry,2026-04-29,yes
listing-analytics,existing_validated,B,,Active platform feature — Listing Analytics (parent: analytics). Consistent with current eBay functionality.,2026-04-29,yes
listing-confirmed-notification,existing_validated,B,,Active platform feature — Listing Confirmed Notification (parent: selling-activity-notifications). Consistent with curre,2026-04-29,yes
listing-designer,existing_legacy_validated,B,,Listing Designer — retired template tool,2026-04-29,yes
listing-enhancement,existing_validated,B,,Active platform feature — Listing Enhancement (parent: advertising). Consistent with current eBay functionality.,2026-04-29,yes
listing-error,existing_validated,B,,Active platform feature — Listing Error (parent: sellertools). Consistent with current eBay functionality.,2026-04-29,yes
listing-features,existing_validated,A,,Structural hierarchy node — Listing Features is valid taxonomy entry,2026-04-29,yes
listing-formats,existing_validated,A,,Structural hierarchy node — Listing Formats is valid taxonomy entry,2026-04-29,yes
listing-policies,existing_validated,A,,Structural hierarchy node — Listing Policies is valid taxonomy entry,2026-04-29,yes
listing-quality-report,existing_validated,B,,Active platform feature — Listing Quality Report (parent: seller-hub). Consistent with current eBay functionality.,2026-04-29,yes
listing-removal-notice,existing_validated,B,,Active platform feature — Listing Removal Notice (parent: trust). Consistent with current eBay functionality.,2026-04-29,yes
listing-template,existing_validated,B,,Active platform feature — Listing Template (parent: template-builder). Consistent with current eBay functionality.,2026-04-29,yes
listing-templates,existing_validated,B,,Active platform feature — Listing Templates (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
listing-tools,existing_validated,A,,Structural hierarchy node — Listing Tools is valid taxonomy entry,2026-04-29,yes
listing-upgrades,existing_validated,B,,Active platform feature — Listing Upgrades (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
live,existing_validated,A,,Structural hierarchy node — Live is valid taxonomy entry,2026-04-29,yes
live-chat-support,existing_validated,B,,Active platform feature — Live Chat Support (parent: support). Consistent with current eBay functionality.,2026-04-29,yes
live-commerce,existing_validated,A,,Structural hierarchy node — Live Commerce is valid taxonomy entry,2026-04-29,yes
local-delivery,existing_validated,B,,Active platform feature — Local Delivery (parent: shipping). Consistent with current eBay functionality.,2026-04-29,yes
local-pickup,existing_validated,A,,Core transaction feature — live,2026-04-29,yes
location-filter,existing_validated,B,,Active platform feature — Location Filter (parent: search). Consistent with current eBay functionality.,2026-04-29,yes
login-alerts,existing_validated,B,,Active platform feature — Login Alerts (parent: trust). Consistent with current eBay functionality.,2026-04-29,yes
logistica-ebay-by-orange-connex,existing_validated,B,,Italian eBay logistics — live,2026-04-29,yes
logistica-ebay-orange-connex,duplicate,B,verify; merge if same,Duplicate of logistica-ebay-by-orange-connex,2026-04-29,yes
magento,existing_legacy_validated,A,,"Magento — e-commerce platform acquired 2011, divested 2015. Correctly marked legacy.",2026-04-29,yes
magical-bulk-listing-tool,existing_validated,A,,"Magical Bulk Listing Tool — AI-powered bulk listing, launched 2024. Live. (Note: 'Magical Listing' as descriptive phrase",2026-04-29,yes
magical-listing,existing_validated,B,,Active platform feature — Magical Listing (parent: ebay-selling-app). Consistent with current eBay functionality.,2026-04-29,yes
make-an-offer,existing_validated,B,,Active platform feature — Make An Offer (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
make-offer,existing_validated,B,,Active platform feature — Make Offer (parent: listing). Consistent with current eBay functionality.,2026-04-29,yes
make-offer-button,existing_validated,B,,Active platform feature — Make Offer Button (parent: buyer). Consistent with current eBay functionality.,2026-04-29,yes
managed-delivery,status_changed_deprecated,A,Update status to deprecated/legacy; add end_date: 2019; add note: unrelated to UK Simple Delivery; distinguish from managed-payments,"eBay Managed Delivery was the original US fulfillment service announced in 2019 (warehousing, pick/pack/ship via logisti",2026-04-29,yes
managed-display,false_positive,C,"Remove from registry or reclassify as legacy internal label; if referring to enterprise display, note as internal term only",No public eBay product called 'Managed Display' found 2022-2026. The self-serve display product was 'Promoted Display' (,2026-04-29,yes
managed-payments,existing_validated,B,,Payment infrastructure live; branded 'eBay Managed Payments' name retired; 'Managed Payments' label used in navigation,2026-04-29,yes
